Technology Area,Number of Awards,Total Funding,Avg Funding per Award
"Biotechnology, Artificial Intelligence, Advanced Communications",3,1350000.0,450000.0
"Biotechnology, Artificial Intelligence, Data and Cybersecurity",3,1349886.0,449962.0
"Exploratory Activities, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity, Quantum Information Science and Technology",1,1326261.0,1326261.0
"Robotics and Advanced Manufacturing, Advanced Materials, Advanced Computing and Semiconductors",3,1324998.0,441666.0
"Data and Cybersecurity, Biotechnology, Disaster Prevention and Mitigation, Artificial Intelligence",2,1306832.0,653416.0
"Advanced Materials, Biotechnology, Disaster Prevention and Mitigation",2,1300000.0,650000.0
"Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation, Biotechnology, Artificial Intelligence",2,1299999.0,649999.5
"Robotics and Advanced Manufacturing, Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology",2,1299990.0,649995.0
"Data and Cybersecurity, Biotechnology",8,1286854.0,160856.75
"Advanced Materials, Robotics and Advanced Manufacturing, Biotechnology",3,1286720.0,428906.6666666667
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials",2,1249905.0,624952.5
"Advanced Communications, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies",1,1249612.0,1249612.0
"Advanced Communications, Artificial Intelligence, Robotics and Advanced Manufacturing",2,1231904.0,615952.0
"Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation, Artificial Intelligence",1,1231473.0,1231473.0
"Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Artificial Intelligence",1,1214897.0,1214897.0
"Data and Cybersecurity, Biotechnology, Advanced Computing and Semiconductors",1,1200000.0,1200000.0
"Advanced Communications, Disaster Prevention and Mitigation",6,1184477.0,197412.83333333334
"Artificial Intelligence, Robotics and Advanced Manufacturing, Biotechnology",3,1064016.0,354672.0
"Robotics and Advanced Manufacturing, Advanced Materials, Disaster Prevention and Mitigation",2,1050000.0,525000.0
"Advanced Computing and Semiconductors, Advanced Communications, Advanced Materials",2,1025000.0,512500.0
"Advanced Computing and Semiconductors, Biotechnology",7,1020962.0,145851.7142857143
"Artificial Intelligence, Advanced Communications, Biotechnology",2,1013459.0,506729.5
"Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing",2,1011137.0,505568.5
"Data and Cybersecurity, Robotics and Advanced Manufacturing",1,1000000.0,1000000.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Communications, Data and Cybersecurity",1,1000000.0,1000000.0
"Quantum Information Science and Technology, Data and Cybersecurity, Advanced Computing and Semiconductors, Artificial Intelligence",1,1000000.0,1000000.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Biotechnology, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Advanced Materials, Advanced Computing and Semiconductors, Quantum Information Science and Technology, Advanced Energy and Industrial Efficiency Technologies",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Disaster Prevention and Mitigation",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Data and Cybersecurity, Advanced Materials",1,1000000.0,1000000.0
"Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Advanced Communications, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Data and Cybersecurity",1,1000000.0,1000000.0
"Artificial Intelligence, Biotechnology, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Quantum Information Science and Technology, Advanced Computing and Semiconductors, Advanced Materials",1,1000000.0,1000000.0
